Nuclide Name,ZAID,ORION ID,Parent 16 ZAID,Parent 17 ZAID,Parent 102 ZAID,Parent 103 ZAID,Parent(M) 16 ZAID,Parent(2M) 16 ZAID,Parent(M) 17 ZAID,Parent(2M) 17 ZAID,Parent(M) 102 ZAID,Parent(2M) 102 ZAID,Parent(M) 103 ZAID,Parent(2M) 103 ZAID
Y97(1),390971,516,NA,NA,NA,400970,NA,NA,NA,NA,NA,NA,NA,NA
ZR85(1),400851,529,400860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZR87(1),400871,532,400880,400890,400860,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZR89(1),400891,535,400900,400910,400880,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZR90(1),400901,536,400910,400920,400890,410900,NA,NA,NA,NA,NA,NA,NA,NA
NB88(1),410891,552,NA,410900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NB89(1),410891,554,410900,410910,NA,NA,NA,NA,410911,NA,NA,NA,NA,NA
NB90(1),410901,556,410910,410920,NA,NA,410911,NA,410921,NA,NA,NA,NA,NA
NB91(1),410911,558,410920,410930,410900,NA,410921,NA,410931,NA,NA,NA,NA,NA
NB92(1),410921,560,410930,410940,410910,420920,410931,NA,NA,NA,410911,NA,NA,NA
NB93(1),410931,561,410940,410950,410920,420930,NA,NA,410951,NA,410921,NA,420930,NA
NB94(1),410941,563,410950,410960,410930,420940,410951,NA,NA,NA,410931,NA,NA,NA
NB95(1),410951,565,410960,NA,410940,420950,NA,NA,NA,NA,NA,NA,NA,NA
NB97(1),410971,568,NA,NA,410960,420970,NA,NA,NA,NA,NA,NA,NA,NA
NB98(1),410981,570,NA,NA,NA,420980,NA,NA,NA,NA,NA,NA,NA,NA
NB99(1),410991,572,NA,NA,NA,420990,NA,NA,NA,NA,NA,NA,NA,NA
NB100(1),411001,574,NA,NA,NA,421000,NA,NA,NA,NA,NA,NA,NA,NA
MO91(1),420911,589,420920,420930,NA,NA,NA,NA,420931,NA,NA,NA,NA,NA
MO93(1),420931,591,420940,420950,420920,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC93(1),430931,607,NA,430950,NA,NA,NA,NA,430951,NA,NA,NA,NA,NA
